lambda_1,p_naive,p_stable
32.75,1.0163504064704591e-14,1.0163032732755257e-14
33.0,7.913574139618906e-15,7.913215409158918e-15
33.25,6.161739351604976e-15,6.1614662743991035e-15
33.5,4.797725284008612e-15,4.797517373075952e-15
33.75,3.7356725865558015e-15,3.73551426400912e-15
34.0,2.9087311327556044e-15,2.9086105512561427e-15
34.25,2.2648511743560397e-15,2.2647593220637144e-15
34.5,1.7635064299082018e-15,1.7634364505938468e-15
34.75,1.373142743870763e-15,1.3730894203633013e-15
35.0,1.0691916518935853e-15,1.069151013542388e-15
35.25,8.325237663322628e-16,8.324927906545833e-16
35.5,6.48244595241122e-16,6.482209811104491e-16
35.75,5.047569731360006e-16,5.047389683242098e-16
36.0,3.930310712524058e-16,3.9301734127684495e-16
36.25,3.060360264891375e-16,3.0602555485153685e-16
36.5,2.382974051116848e-16,2.382894174028809e-16
36.75,1.855526406200252e-16,1.855465467699862e-16
37.0,1.444827540178394e-16,1.4447810434516023e-16
37.25,1.1250346758541475e-16,1.1249991934329008e-16
37.5,8.760256264197151e-17,8.759985454908238e-17
37.75,6.821324318207288e-17,6.821117602958783e-17
38.0,5.311553402964801e-17,5.31139559130275e-17
38.25,4.1359358747910585e-17,4.1358302090375796e-17
38.5,3.225369424400763e-17,3.2204582714745687e-17
38.75,0.0,2.5076883174291403e-17
39.0,0.0,1.952676615754727e-17
39.25,0.0,1.52050539583972e-17
39.5,0.0,1.1839857113787877e-17
39.75,,9.219466621011356e-18
40.0,,7.179033094024261e-18
40.25,,5.590194561225052e-18
40.5,,4.3530001842527786e-18
40.75,,3.3896216709582152e-18
41.0,,2.6394566612642978e-18
41.25,,2.0553159640076596e-18
41.5,,1.600454729938161e-18
41.75,,1.2462607539823917e-18
42.0,,9.7045445132505e-19
42.25,,7.556872494468602e-19
42.5,,5.884502084397882e-19
42.75,,4.582242025000577e-19
43.0,,3.568181950004031e-19
43.25,,2.7785397451936164e-19
43.5,,2.1636493443823357e-19
