gamma,lambda_1,lambda_2,spacing,det_R,trace_R,sigma_estimate,distance_t0t1,distance_t1t2,p_spacing_naive,p_spacing_stable,p_tspacing_naive,p_tspacing_stable,valid
0.0,2.3342108415850156,1.5841006156676272,0.7501102259173884,0.0730143604465672,-1.1041962201179527,0.6788825977140003,0.9189205161368987,0.6219638520151407,0.27413607157201797,0.27413607157201786,0.2444366220534483,0.24443662205344777,True
0.0,1.8908127587170824,1.6471947361815278,0.24361802253555465,-0.01168209008731684,-1.3507432324340027,0.8683258532855607,0.23071417616089113,0.64363093851215,0.6870871211143686,0.6870871211143686,0.7109268433860807,0.7109268433860804,True
0.0,0.571786973571283,0.5689087167064788,0.0028782568648042517,0.022420224208076253,-0.7037589021648876,0.3049173670191393,0.3675092375180724,0.6672683159985726,0.9989888062918965,0.9989888062918961,0.9893973867181786,0.9893973867181791,True
0.0,2.0608706379817883,1.8996800468927977,0.1611905910889906,5.048403180175688,-4.848858336812119,1.2736417639179123,0.263635603816758,0.7147267178905916,0.7271687115725611,0.7271687115725619,0.8438736226100423,0.8438736226100421,True
0.0,2.098580061717403,1.8160497822904391,0.28253027942696374,-3.1394560782393617,-1.768969520836651,1.133087350258226,0.9408036720558854,0.716902471800152,0.658864373547922,0.6588643735479224,0.813816439646338,0.8138164396463384,True
0.0,2.7478362601732713,1.8560946824051945,0.8917415777680768,0.2548819279449823,-2.0790828969888766,1.007631489705216,0.161575736816499,0.6440240937621731,0.14965188276075206,0.14965188276075211,0.3179974558401619,0.3179974558401619,True
0.0,2.5940240656144797,1.0151396274814455,1.5788844381330343,0.20236101860792846,-0.9789844281388926,0.5041827922486366,0.7908252737169823,0.5726303957551969,0.08312204225249069,0.08312204225249077,0.02240609868008818,0.02240609868008772,True
0.0,1.8279941809891906,1.5315038153981815,0.29649036559100916,2.4546814851015366,-3.153320817366841,0.9118886107398256,0.6551662202384012,0.6714813723189273,0.6165712282009949,0.616571228200995,0.64753709627807,0.6475370962780703,True
0.0,1.7935546561701847,1.6180229738392253,0.1755316823309594,-0.11319394456816659,-0.5922248457744042,0.8019226996933942,0.09957561052635722,0.5667871555331722,0.7819847109320601,0.7819847109320602,0.7735735976831913,0.7735735976831921,True
0.0,2.0101769325284597,1.6385939600805386,0.37158297244792116,-1.2770820566335206,-1.0004498515952776,0.9990532652475255,0.46507512082890146,0.6489897515603709,0.5867265396544326,0.5867265396544327,0.6871929938225454,0.6871929938225454,True
0.0,1.793271180720294,1.2735745385487949,0.519696642171499,0.009593463798294639,0.9937328603283335,0.5519680051124686,0.6353173754523048,0.30447747802994274,0.6625624704294236,0.6625624704294233,0.36275951711825755,0.3627595171182566,True
